年月日,黄経差,月齢,こよみ,気象庁,MIRC
2012-01-01,88.52,7.37,小潮,小潮,小潮
2012-01-02,99.4,8.37,小潮,小潮,小潮
2012-01-03,110.21,9.37,小潮,長潮,長潮
2012-01-04,121.03,10.37,長潮,若潮,若潮
2012-01-05,131.96,11.37,若潮,若潮,中潮
2012-01-06,143.04,12.37,中潮,中潮,中潮
2012-01-07,154.35,13.37,中潮,中潮,中潮
2012-01-08,165.91,14.37,大潮,中潮,大潮
2012-01-09,177.75,15.37,大潮,大潮,大潮
2012-01-10,189.87,16.37,大潮,大潮,大潮
2012-01-11,202.24,17.37,大潮,大潮,大潮
2012-01-12,214.85,18.37,中潮,大潮,中潮
2012-01-13,227.63,19.37,中潮,中潮,中潮
2012-01-14,240.56,20.37,中潮,中潮,中潮
2012-01-15,253.57,21.37,中潮,小潮,小潮
2012-01-16,266.65,22.37,小潮,小潮,小潮
2012-01-17,279.76,23.37,小潮,小潮,小潮
2012-01-18,292.89,24.37,小潮,長潮,長潮
2012-01-19,306.0,25.37,長潮,若潮,若潮
2012-01-20,319.07,26.37,若潮,中潮,中潮
2012-01-21,332.06,27.37,中潮,中潮,中潮
2012-01-22,344.91,28.37,中潮,中潮,大潮
2012-01-23,357.57,29.37,大潮,大潮,大潮
2012-01-24,9.99,0.81,大潮,大潮,大潮
2012-01-25,22.13,1.81,大潮,大潮,大潮
2012-01-26,33.96,2.81,大潮,大潮,中潮
2012-01-27,45.5,3.81,中潮,中潮,中潮
2012-01-28,56.76,4.81,中潮,中潮,中潮
2012-01-29,67.79,5.81,中潮,中潮,小潮
2012-01-30,78.67,6.81,中潮,小潮,小潮
2012-01-31,89.48,7.81,小潮,小潮,小潮
2012-02-01,100.3,8.81,小潮,小潮,小潮
2012-02-02,111.22,9.81,小潮,長潮,長潮
2012-02-03,122.33,10.81,長潮,若潮,若潮
2012-02-04,133.71,11.81,若潮,中潮,中潮
2012-02-05,145.42,12.81,中潮,中潮,中潮
